	Chord length [m]	FS velocity [m/s]	SSD thickness [m]	Sound pressure [dB]
0	0.3048	71.3	0.00266337	126.20100000000001
1	0.3048	71.3	0.00266337	125.20100000000001
2	0.3048	71.3	0.00266337	125.95100000000001
3	0.3048	71.3	0.00266337	127.59100000000001
4	0.3048	71.3	0.00266337	127.461
5	0.3048	71.3	0.00266337	125.571
6	0.3048	71.3	0.00266337	125.20100000000001
7	0.3048	71.3	0.00266337	123.061
8	0.3048	71.3	0.00266337	121.301
9	0.3048	71.3	0.00266337	119.541
10	0.3048	71.3	0.00266337	117.15100000000001
11	0.3048	71.3	0.00266337	115.391
12	0.3048	71.3	0.00266337	112.241
13	0.3048	71.3	0.00266337	108.721
14	0.3048	55.5	0.00283081	126.416
15	0.3048	55.5	0.00283081	127.696
16	0.3048	55.5	0.00283081	128.086
17	0.3048	55.5	0.00283081	126.96600000000001
18	0.3048	55.5	0.00283081	126.086
19	0.3048	55.5	0.00283081	126.986
20	0.3048	55.5	0.00283081	126.616
21	0.3048	55.5	0.00283081	124.10600000000001
22	0.3048	55.5	0.00283081	123.236
23	0.3048	55.5	0.00283081	121.10600000000001
24	0.3048	55.5	0.00283081	119.60600000000001
25	0.3048	55.5	0.00283081	117.976
26	0.3048	55.5	0.00283081	116.476
27	0.3048	55.5	0.00283081	113.07600000000001
28	0.3048	55.5	0.00283081	111.07600000000001
29	0.3048	39.6	0.00310138	118.12899999999999
30	0.3048	39.6	0.00310138	119.319
31	0.3048	39.6	0.00310138	122.779
32	0.3048	39.6	0.00310138	124.809
33	0.3048	39.6	0.00310138	126.959
34	0.3048	39.6	0.00310138	128.629
35	0.3048	39.6	0.00310138	129.099
36	0.3048	39.6	0.00310138	127.899
37	0.3048	39.6	0.00310138	125.499
38	0.3048	39.6	0.00310138	124.04899999999999
39	0.3048	39.6	0.00310138	123.689
40	0.3048	39.6	0.00310138	121.399
41	0.3048	39.6	0.00310138	120.319
42	0.3048	39.6	0.00310138	119.229
43	0.3048	39.6	0.00310138	117.789
44	0.3048	39.6	0.00310138	116.229
45	0.3048	39.6	0.00310138	114.779
46	0.3048	39.6	0.00310138	112.139
47	0.3048	39.6	0.00310138	109.619
48	0.3048	31.7	0.00331266	117.195
49	0.3048	31.7	0.00331266	118.595
50	0.3048	31.7	0.00331266	122.765
51	0.3048	31.7	0.00331266	125.045
52	0.3048	31.7	0.00331266	127.315
53	0.3048	31.7	0.00331266	129.095
54	0.3048	31.7	0.00331266	129.235
55	0.3048	31.7	0.00331266	127.365
56	0.3048	31.7	0.00331266	124.355
57	0.3048	31.7	0.00331266	122.365
58	0.3048	31.7	0.00331266	122.375
59	0.3048	31.7	0.00331266	120.755
60	0.3048	31.7	0.00331266	119.135
61	0.3048	31.7	0.00331266	118.145
62	0.3048	31.7	0.00331266	115.645
63	0.3048	31.7	0.00331266	113.775
64	0.3048	31.7	0.00331266	110.515
65	0.3048	31.7	0.00331266	108.265
66	0.3048	71.3	0.00336729	127.12200000000001
67	0.3048	71.3	0.00336729	125.992
68	0.3048	71.3	0.00336729	125.87200000000001
69	0.3048	71.3	0.00336729	126.632
70	0.3048	71.3	0.00336729	126.64200000000001
71	0.3048	71.3	0.00336729	124.512
72	0.3048	71.3	0.00336729	123.39200000000001
73	0.3048	71.3	0.00336729	121.762
74	0.3048	71.3	0.00336729	119.632
75	0.3048	71.3	0.00336729	118.12200000000001
76	0.3048	71.3	0.00336729	115.37200000000001
77	0.3048	71.3	0.00336729	113.492
78	0.3048	71.3	0.00336729	109.22200000000001
79	0.3048	71.3	0.00336729	106.58200000000001
80	0.3048	39.6	0.00392107	121.851
81	0.3048	39.6	0.00392107	124.001
82	0.3048	39.6	0.00392107	126.661
83	0.3048	39.6	0.00392107	128.311
84	0.3048	39.6	0.00392107	128.83100000000002
85	0.3048	39.6	0.00392107	127.581
86	0.3048	39.6	0.00392107	125.211
87	0.3048	39.6	0.00392107	122.211
88	0.3048	39.6	0.00392107	122.101
89	0.3048	39.6	0.00392107	120.98100000000001
90	0.3048	39.6	0.00392107	119.111
91	0.3048	39.6	0.00392107	117.741
92	0.3048	39.6	0.00392107	116.241
93	0.3048	39.6	0.00392107	114.751
94	0.3048	39.6	0.00392107	112.251
95	0.3048	39.6	0.00392107	108.991
96	0.3048	39.6	0.00392107	106.111
97	0.3048	71.3	0.00425727	127.564
98	0.3048	71.3	0.00425727	128.454
99	0.3048	71.3	0.00425727	129.35399999999998
100	0.3048	71.3	0.00425727	129.494
101	0.3048	71.3	0.00425727	129.004
102	0.3048	71.3	0.00425727	127.634
103	0.3048	71.3	0.00425727	126.514
104	0.3048	71.3	0.00425727	125.524
105	0.3048	71.3	0.00425727	124.024
106	0.3048	71.3	0.00425727	121.514
107	0.3048	71.3	0.00425727	120.264
108	0.3048	71.3	0.00425727	118.134
109	0.3048	71.3	0.00425727	116.134
110	0.3048	71.3	0.00425727	114.634
111	0.3048	71.3	0.00425727	110.22399999999999
112	0.3048	55.5	0.00452492	126.15899999999999
113	0.3048	55.5	0.00452492	128.179
114	0.3048	55.5	0.00452492	129.569
115	0.3048	55.5	0.00452492	129.94899999999998
116	0.3048	55.5	0.00452492	129.329
117	0.3048	55.5	0.00452492	127.329
118	0.3048	55.5	0.00452492	124.439
119	0.3048	55.5	0.00452492	123.069
120	0.3048	55.5	0.00452492	122.439
121	0.3048	55.5	0.00452492	120.189
122	0.3048	55.5	0.00452492	118.689
123	0.3048	55.5	0.00452492	117.309
124	0.3048	55.5	0.00452492	115.679
125	0.3048	55.5	0.00452492	113.79899999999999
126	0.3048	55.5	0.00452492	112.169
127	0.3048	39.6	0.00495741	123.31200000000001
128	0.3048	39.6	0.00495741	125.47200000000001
129	0.3048	39.6	0.00495741	127.632
130	0.3048	39.6	0.00495741	129.292
131	0.3048	39.6	0.00495741	129.55200000000002
132	0.3048	39.6	0.00495741	128.312
133	0.3048	39.6	0.00495741	125.802
134	0.3048	39.6	0.00495741	122.78200000000001
135	0.3048	39.6	0.00495741	120.53200000000001
136	0.3048	39.6	0.00495741	120.162
137	0.3048	39.6	0.00495741	118.92200000000001
138	0.3048	39.6	0.00495741	116.792
139	0.3048	39.6	0.00495741	115.792
140	0.3048	39.6	0.00495741	114.042
141	0.3048	39.6	0.00495741	110.652
142	0.3048	31.7	0.00529514	123.118
143	0.3048	31.7	0.00529514	125.398
144	0.3048	31.7	0.00529514	127.54799999999999
145	0.3048	31.7	0.00529514	128.69799999999998
146	0.3048	31.7	0.00529514	128.708
147	0.3048	31.7	0.00529514	126.838
148	0.3048	31.7	0.00529514	124.838
149	0.3048	31.7	0.00529514	122.088
150	0.3048	31.7	0.00529514	120.088
151	0.3048	31.7	0.00529514	119.598
152	0.3048	31.7	0.00529514	118.10799999999999
153	0.3048	31.7	0.00529514	115.60799999999999
154	0.3048	31.7	0.00529514	113.85799999999999
155	0.3048	31.7	0.00529514	109.71799999999999
156	0.3048	71.3	0.00497773	126.395
157	0.3048	71.3	0.00497773	128.175
158	0.3048	71.3	0.00497773	129.575
159	0.3048	71.3	0.00497773	130.715
160	0.3048	71.3	0.00497773	131.615
161	0.3048	71.3	0.00497773	131.755
162	0.3048	71.3	0.00497773	131.015
163	0.3048	71.3	0.00497773	129.395
164	0.3048	71.3	0.00497773	126.645
165	0.3048	71.3	0.00497773	124.395
166	0.3048	71.3	0.00497773	123.775
167	0.3048	71.3	0.00497773	121.775
168	0.3048	71.3	0.00497773	119.535
169	0.3048	71.3	0.00497773	117.785
170	0.3048	71.3	0.00497773	116.165
171	0.3048	71.3	0.00497773	113.665
172	0.3048	71.3	0.00497773	110.905
173	0.3048	71.3	0.00497773	107.405
174	0.3048	39.6	0.00579636	123.54299999999999
175	0.3048	39.6	0.00579636	126.84299999999999
176	0.3048	39.6	0.00579636	128.63299999999998
177	0.3048	39.6	0.00579636	130.173
178	0.3048	39.6	0.00579636	131.07299999999998
179	0.3048	39.6	0.00579636	130.72299999999998
180	0.3048	39.6	0.00579636	128.72299999999998
181	0.3048	39.6	0.00579636	126.34299999999999
182	0.3048	39.6	0.00579636	123.213
183	0.3048	39.6	0.00579636	120.963
184	0.3048	39.6	0.00579636	120.23299999999999
185	0.3048	39.6	0.00579636	118.743
186	0.3048	39.6	0.00579636	115.863
187	0.3048	39.6	0.00579636	113.73299999999999
188	0.2286	71.3	0.00214345	128.144
189	0.2286	71.3	0.00214345	129.134
190	0.2286	71.3	0.00214345	128.244
191	0.2286	71.3	0.00214345	128.35399999999998
192	0.2286	71.3	0.00214345	127.834
193	0.2286	71.3	0.00214345	125.824
194	0.2286	71.3	0.00214345	124.304
195	0.2286	71.3	0.00214345	122.044
196	0.2286	71.3	0.00214345	118.024
197	0.2286	71.3	0.00214345	118.134
198	0.2286	71.3	0.00214345	117.624
199	0.2286	71.3	0.00214345	114.984
200	0.2286	71.3	0.00214345	114.47399999999999
201	0.2286	55.5	0.00229336	119.54
202	0.2286	55.5	0.00229336	121.66
203	0.2286	55.5	0.00229336	123.78
204	0.2286	55.5	0.00229336	126.16
205	0.2286	55.5	0.00229336	127.53
206	0.2286	55.5	0.00229336	128.29
207	0.2286	55.5	0.00229336	127.91
208	0.2286	55.5	0.00229336	126.79
209	0.2286	55.5	0.00229336	126.54
210	0.2286	55.5	0.00229336	126.54
211	0.2286	55.5	0.00229336	125.16
212	0.2286	55.5	0.00229336	123.41
213	0.2286	55.5	0.00229336	122.41
214	0.2286	55.5	0.00229336	118.41
215	0.2286	39.6	0.00253511	121.055
216	0.2286	39.6	0.00253511	123.565
217	0.2286	39.6	0.00253511	126.195
218	0.2286	39.6	0.00253511	128.705
219	0.2286	39.6	0.00253511	130.205
220	0.2286	39.6	0.00253511	130.435
221	0.2286	39.6	0.00253511	129.395
222	0.2286	39.6	0.00253511	127.095
223	0.2286	39.6	0.00253511	125.305
224	0.2286	39.6	0.00253511	125.025
225	0.2286	39.6	0.00253511	124.625
226	0.2286	39.6	0.00253511	123.465
227	0.2286	39.6	0.00253511	122.175
228	0.2286	39.6	0.00253511	117.465
229	0.2286	31.7	0.0027238	120.595
230	0.2286	31.7	0.0027238	123.635
231	0.2286	31.7	0.0027238	126.675
232	0.2286	31.7	0.0027238	129.465
233	0.2286	31.7	0.0027238	130.725
234	0.2286	31.7	0.0027238	130.595
235	0.2286	31.7	0.0027238	128.805
236	0.2286	31.7	0.0027238	125.625
237	0.2286	31.7	0.0027238	123.455
238	0.2286	31.7	0.0027238	123.445
239	0.2286	31.7	0.0027238	123.445
240	0.2286	31.7	0.0027238	122.035
241	0.2286	31.7	0.0027238	120.505
242	0.2286	31.7	0.0027238	116.815
243	0.2286	71.3	0.00293031	125.116
244	0.2286	71.3	0.00293031	126.486
245	0.2286	71.3	0.00293031	127.35600000000001
246	0.2286	71.3	0.00293031	128.216
247	0.2286	71.3	0.00293031	128.95600000000002
248	0.2286	71.3	0.00293031	128.816
249	0.2286	71.3	0.00293031	127.796
250	0.2286	71.3	0.00293031	126.896
251	0.2286	71.3	0.00293031	127.006
252	0.2286	71.3	0.00293031	126.116
253	0.2286	71.3	0.00293031	124.086
254	0.2286	71.3	0.00293031	122.816
255	0.2286	71.3	0.00293031	120.786
256	0.2286	71.3	0.00293031	115.99600000000001
257	0.2286	71.3	0.00293031	113.086
258	0.2286	55.5	0.00313525	122.292
259	0.2286	55.5	0.00313525	124.69200000000001
260	0.2286	55.5	0.00313525	126.84200000000001
261	0.2286	55.5	0.00313525	128.49200000000002
262	0.2286	55.5	0.00313525	129.002
263	0.2286	55.5	0.00313525	128.762
264	0.2286	55.5	0.00313525	126.75200000000001
265	0.2286	55.5	0.00313525	124.61200000000001
266	0.2286	55.5	0.00313525	123.86200000000001
267	0.2286	55.5	0.00313525	123.742
268	0.2286	55.5	0.00313525	122.23200000000001
269	0.2286	55.5	0.00313525	120.47200000000001
270	0.2286	55.5	0.00313525	118.712
271	0.2286	39.6	0.00346574	120.137
272	0.2286	39.6	0.00346574	122.147
273	0.2286	39.6	0.00346574	125.15700000000001
274	0.2286	39.6	0.00346574	127.417
275	0.2286	39.6	0.00346574	129.037
276	0.2286	39.6	0.00346574	129.14700000000002
277	0.2286	39.6	0.00346574	128.257
278	0.2286	39.6	0.00346574	125.837
279	0.2286	39.6	0.00346574	122.79700000000001
280	0.2286	39.6	0.00346574	121.397
281	0.2286	39.6	0.00346574	121.62700000000001
282	0.2286	39.6	0.00346574	120.227
283	0.2286	39.6	0.00346574	118.82700000000001
284	0.2286	39.6	0.00346574	116.417
285	0.2286	31.7	0.00372371	120.147
286	0.2286	31.7	0.00372371	123.417
287	0.2286	31.7	0.00372371	126.677
288	0.2286	31.7	0.00372371	129.05700000000002
289	0.2286	31.7	0.00372371	130.30700000000002
290	0.2286	31.7	0.00372371	130.30700000000002
291	0.2286	31.7	0.00372371	128.67700000000002
292	0.2286	31.7	0.00372371	125.79700000000001
293	0.2286	31.7	0.00372371	123.037
294	0.2286	31.7	0.00372371	121.40700000000001
295	0.2286	31.7	0.00372371	121.527
296	0.2286	31.7	0.00372371	120.527
297	0.2286	31.7	0.00372371	118.26700000000001
298	0.2286	31.7	0.00372371	115.137
299	0.2286	71.3	0.00400603	126.758
300	0.2286	71.3	0.00400603	129.03799999999998
301	0.2286	71.3	0.00400603	130.688
302	0.2286	71.3	0.00400603	131.708
303	0.2286	71.3	0.00400603	131.718
304	0.2286	71.3	0.00400603	129.468
305	0.2286	71.3	0.00400603	126.21799999999999
