MarketSegmentID;SecurityID;ExecID;ApplSeqNum;PartitionID;CompletionIndicator;TradeCondition;AggressorSide;LastQty;LastPx;RestingHiddenQty;RestingCxlQty;RequestTime;AggressorTime;TransactTime;EOBICaptTime;ETICaptTime
52408;2504501;1534402803098524274;30464;54;1;255;1;111;4264000000;;0;1534402803098455203;1534402803098519571;1534402803098574361;1534402803098576041;
52408;2504501;1534402803130589112;30499;54;1;255;1;99;4264000000;;0;1534402803130565293;1534402803130584458;1534402803130631999;1534402803130633441;1534402803130564019
52408;2504501;1534402803135381294;30505;54;0;255;2;137;4263000000;;0;1534402803135363013;1534402803135378347;1534402803135432113;1534402803135433606;1534402803135361745
52408;2504501;1534402803156810177;30524;54;1;255;2;92;4263000000;;0;1534402803156766533;1534402803156789397;1534402803156846800;1534402803156848412;1534402803156765270
52408;2504501;1534402803156878665;30525;54;1;255;2;20;4263000000;;0;1534402803156852811;1534402803156873514;1534402803156914432;1534402803156916054;1534402803156851566
53294;2505387;1534402803268904098;1227360;56;1;255;1;90;1718000000;;0;1534402803268839475;1534402803268899511;1534402803268936909;1534402803268938464;
53294;2505387;1534402803272050083;1227365;56;1;255;1;1271;1718000000;;0;1534402803272030339;1534402803272044857;1534402803272083326;1534402803272085051;1534402803272029212
53294;2505387;1534402803292194377;1227401;56;1;255;1;317;1720000000;;0;1534402803292149193;1534402803292189370;1534402803292221190;1534402803292222618;
53294;2505387;1534402803292253843;1227402;56;1;255;1;183;1720000000;;0;1534402803292226895;1534402803292248177;1534402803292279355;1534402803292280851;1534402803292225773
52931;2505024;1534402803809535776;26476;53;0;255;1;940;2138000000;;0;;;1534402803810303896;1534402803810306925;
52931;2505024;1534402803809588953;26478;53;1;255;1;1500;2138000000;;0;;;1534402803810311781;1534402803810312890;
52931;2505024;1534402803809751445;26479;53;1;255;1;601;2138000000;;0;1534402803809715233;1534402803809742094;1534402803810316081;1534402803810317344;1534402803809714065
52931;2505024;1534402803810347453;26481;53;0;255;1;13232;2138000000;;0;1534402803810317933;1534402803810340234;1534402803810396686;1534402803810397783;1534402803810316771
54120;2506272;1534402803828497527;1227508;56;1;255;2;60;3275000000;;0;1534402803828424531;1534402803828492116;1534402803828529372;1534402803828531014;1534402803828369525
54120;2506272;1534402803845617565;1227522;56;1;255;2;20;3275000000;;0;1534402803845560126;1534402803845612984;1534402803845645430;1534402803845646882;
